#ELM_Instance_Download_Version: 1.4
#ELM_Instance_Download_Date: 2022-03-17 09:28:34.137269
#Origin: asimov
#Type: tsv
#NumInstances: 3934
"Accession"	"ELMType"	"ELMIdentifier"	"ProteinName"	"Primary_Acc"	"Accessions"	"Start"	"End"	"References"	"Methods"	"InstanceLogic"	"PDB"	"Organism"
"ELMI002110"	"CLV"	"CLV_C14_Caspase3-7"	"CDC6_HUMAN"	"Q99741"	"Q99741 Q8TB30"	"439"	"443"	"14517333"	"cleavage reaction; inhibitor; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI001934"	"CLV"	"CLV_C14_Caspase3-7"	"CLSPN_HUMAN"	"Q9HAW4"	"Q9HAW4 A6NFL4 Q1RMC6 Q2KHM3 Q5VYG0 Q6P6H5 Q8IWI1"	"22"	"26"	"17431426"	"cleavage reaction; detection by mass spectrometry; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001927"	"CLV"	"CLV_C14_Caspase3-7"	"DSG1_HUMAN"	"Q02413"	"Q02413"	"885"	"889"	"16286477"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001926"	"CLV"	"CLV_C14_Caspase3-7"	"DSG3_HUMAN"	"P32926"	"P32926 A8K2V2"	"778"	"782"	"11500511"	"cleavage reaction; confocal microscopy; edman degradation; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001921"	"CLV"	"CLV_C14_Caspase3-7"	"GDIR2_HUMAN"	"P52566"	"P52566 B5BU79"	"16"	"20"	"8626669"	"cleavage reaction; edman degradation; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001922"	"CLV"	"CLV_C14_Caspase3-7"	"GORS1_RAT"	"O35254"	"O35254"	"317"	"321"	"11815631"	"classical fluorescence spectroscopy; cleavage reaction; green fluorescent protein tag; mutation analysis; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI001923"	"CLV"	"CLV_C14_Caspase3-7"	"GORS1_RAT"	"O35254"	"O35254"	"372"	"376"	"11815631"	"classical fluorescence spectroscopy; cleavage reaction; green fluorescent protein tag; mutation analysis; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI001924"	"CLV"	"CLV_C14_Caspase3-7"	"GORS1_RAT"	"O35254"	"O35254"	"390"	"394"	"11815631"	"classical fluorescence spectroscopy; cleavage reaction; green fluorescent protein tag; mutation analysis; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI001912"	"CLV"	"CLV_C14_Caspase3-7"	"HD_HUMAN"	"P42858"	"P42858 Q9UQB7"	"547"	"551"	"16777606"	"classical fluorescence spectroscopy; cleavage reaction; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001913"	"CLV"	"CLV_C14_Caspase3-7"	"IL16_MOUSE"	"O54824"	"O54824 O70236 Q3TEM4 Q5DTR5 Q8R0G5 Q9QZP6"	"1201"	"1205"	"10479680"	"cleavage reaction; western blot"	"true positive"	""	"Mus musculus"
"ELMI001935"	"CLV"	"CLV_C14_Caspase3-7"	"JIP1_HUMAN"	"Q9UQF2"	"Q9UQF2 D3DQP4 O43407"	"95"	"99"	"21237154"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001936"	"CLV"	"CLV_C14_Caspase3-7"	"JIP1_HUMAN"	"Q9UQF2"	"Q9UQF2 D3DQP4 O43407"	"405"	"409"	"21237154"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001919"	"CLV"	"CLV_C14_Caspase3-7"	"KPCD_HUMAN"	"Q05655"	"Q05655 B2R834 Q15144 Q86XJ6"	"326"	"330"	"8557034"	"cleavage reaction; edman degradation; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001918"	"CLV"	"CLV_C14_Caspase3-7"	"PAK2_HUMAN"	"Q13177"	"Q13177 Q13154 Q6ISC3"	"209"	"213"	"9171063"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001904"	"CLV"	"CLV_C14_Caspase3-7"	"PARP1_HUMAN"	"P09874"	"P09874 B1ANJ4 Q8IUZ9"	"211"	"215"	"8090205"	"cleavage reaction; edman degradation; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001906"	"CLV"	"CLV_C14_Caspase3-7"	"PRKDC_HUMAN"	"P78527"	"P78527 P78528 Q13327 Q13337 Q14175 Q59H99 Q7Z611 Q96SE6 Q9UME3"	"2710"	"2714"	"8670824"	"cleavage reaction; edman degradation; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002111"	"CLV"	"CLV_C14_Caspase3-7"	"PTEN_HUMAN"	"P60484"	"P60484 B2R904 O00633 O02679 Q6ICT7"	"381"	"385"	"12788938"	"cleavage reaction; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI001917"	"CLV"	"CLV_C14_Caspase3-7"	"RB_HUMAN"	"P06400"	"P06400 A8K5E3 P78499 Q5VW46 Q8IZL4"	"346"	"350"	"11420704"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001916"	"CLV"	"CLV_C14_Caspase3-7"	"RB_HUMAN"	"P06400"	"P06400 A8K5E3 P78499 Q5VW46 Q8IZL4"	"883"	"887"	"11420704"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001925"	"CLV"	"CLV_C14_Caspase3-7"	"ROCK1_HUMAN"	"Q13464"	"Q13464 B0YJ91 Q2KHM4 Q59GZ4"	"1110"	"1114"	"11283607"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001905"	"CLV"	"CLV_C14_Caspase3-7"	"RU17_HUMAN"	"P08621"	"P08621 B3KUA3 P78493 P78494 Q15364 Q15686 Q15687 Q15689 Q99377 Q9UE45 Q9UE46 Q9UE47 Q9UE48 Q9UFQ6"	"338"	"342"	"8642305"	"cleavage reaction; edman degradation"	"true positive"	""	"Homo sapiens"
"ELMI003773"	"CLV"	"CLV_C14_Caspase3-7"	"SIPA_SALTS"	"E1WAC6"	"E1WAC6 Q56027 Q56034 Q8ZMH9"	"432"	"436"	"20947770"	"antisense RNA; enzymatic reaction; inhibitor; mutation analysis; phenotype-based detection assay; protease assay; western blot"	"true positive"	""	"Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344"
"ELMI001937"	"CLV"	"CLV_C14_Caspase3-7"	"SND1_HUMAN"	"Q7KZF4"	"Q7KZF4 Q13122 Q96AG0"	"812"	"816"	"19820703"	"cleavage reaction; edman degradation; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001909"	"CLV"	"CLV_C14_Caspase3-7"	"SPTA2_HUMAN"	"Q13813"	"Q13813 Q13186 Q15324 Q16606 Q59EF1 Q5VXV5 Q5VXV6 Q7Z6M5 Q9P0V0"	"1182"	"1186"	"9712874"	"classical fluorescence spectroscopy; cleavage reaction; glutathione s tranferase tag; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001910"	"CLV"	"CLV_C14_Caspase3-7"	"SPTA2_HUMAN"	"Q13813"	"Q13813 Q13186 Q15324 Q16606 Q59EF1 Q5VXV5 Q5VXV6 Q7Z6M5 Q9P0V0"	"1475"	"1479"	"9712874"	"classical fluorescence spectroscopy; cleavage reaction; glutathione s tranferase tag; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001911"	"CLV"	"CLV_C14_Caspase3-7"	"SPTB2_HUMAN"	"Q01082"	"Q01082 B2RP63 O60837 Q16057 Q53R99 Q59ER3 Q8IX99"	"1454"	"1458"	"9712874"	"classical fluorescence spectroscopy; cleavage reaction; glutathione s tranferase tag; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001908"	"CLV"	"CLV_C14_Caspase3-7"	"SRBP1_HUMAN"	"P36956"	"P36956 D3DXC4 Q16062 Q59F52 Q6P4R7 Q6PFW7 Q6PJ36 Q8TAK9"	"457"	"461"	"7629113"	"competition binding; edman degradation; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001907"	"CLV"	"CLV_C14_Caspase3-7"	"SRBP2_HUMAN"	"Q12772"	"Q12772 Q6GTH7 Q86V36 Q9UH04"	"465"	"469"	"8605870"	"cleavage reaction; competition binding; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001903"	"CLV"	"CLV_C14_Caspase3-7"	"STK3_HUMAN"	"Q13188"	"Q13188 A8K722 Q15445 Q15801 Q96FM6"	"319"	"323"	"11278283"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001902"	"CLV"	"CLV_C14_Caspase3-7"	"STK4_HUMAN"	"Q13043"	"Q13043 B2RCR8 Q15802 Q4G156 Q5H982 Q6PD60 Q9BR32 Q9NTZ4"	"323"	"327"	"11278283 11278782"	"classical fluorescence spectroscopy; cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001920"	"CLV"	"CLV_C14_Caspase3-7"	"VDR_HUMAN"	"P11473"	"P11473 B2R5Q1 Q5PSV3"	"195"	"199"	"18832097"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001094"	"CLV"	"CLV_MEL_PAP_1"	"O76951_ANOGA"	"O76951"	"O76951"	"46"	"52"	"9459428"	"sequence based prediction"	"true positive"	""	"Anopheles gambiae"
"ELMI001088"	"CLV"	"CLV_MEL_PAP_1"	"O77002_HYPCU"	"O77002"	"O77002"	"48"	"54"	"9537761"	"sequence based prediction"	"true positive"	""	"Hyphantria cunea"
"ELMI001095"	"CLV"	"CLV_MEL_PAP_1"	"O97047_TENMO"	"O97047"	"O97047"	"47"	"53"	"10050770"	"edman degradation"	"true positive"	""	"Tenebrio molitor"
"ELMI001090"	"CLV"	"CLV_MEL_PAP_1"	"Q16IZ3_AEDAE"	"Q16IZ3"	"Q16IZ3"	"48"	"54"	"11240641"	"sequence based prediction"	"true positive"	""	"Aedes aegypti"
"ELMI001084"	"CLV"	"CLV_MEL_PAP_1"	"Q27598_DROME"	"Q27598"	"Q27598"	"49"	"55"	"7644493"	"sequence based prediction"	"true positive"	""	"Drosophila melanogaster"
"ELMI001093"	"CLV"	"CLV_MEL_PAP_1"	"Q86MV4_APIME"	"Q86MV4"	"Q86MV4"	"48"	"54"	"15857760"	"sequence based prediction"	"true positive"	""	"Apis mellifera"
"ELMI001086"	"CLV"	"CLV_MEL_PAP_1"	"Q8I6K1_HOLDI"	"Q8I6K1"	"Q8I6K1"	"47"	"53"	"12185078"	"edman degradation"	"true positive"	""	"Holotrichia diomphalia"
"ELMI001087"	"CLV"	"CLV_MEL_PAP_1"	"Q8I6K2_HOLDI"	"Q8I6K2"	"Q8I6K2"	"48"	"54"	"12185078"	"edman degradation"	"true positive"	""	"Holotrichia diomphalia"
"ELMI001085"	"CLV"	"CLV_MEL_PAP_1"	"Q8MUI4_PENMO"	"Q8MUI4"	"Q8MUI4"	"41"	"47"	"10402205"	"sequence based prediction"	"true positive"	""	"Penaeus monodon"
"ELMI001091"	"CLV"	"CLV_MEL_PAP_1"	"Q9BLG6_BOMMO"	"Q9BLG6"	"Q9BLG6"	"48"	"54"	"7644494"	"edman degradation"	"true positive"	""	"Bombyx mori"
"ELMI001092"	"CLV"	"CLV_MEL_PAP_1"	"Q9GYX9_9DIPT"	"Q9GYX9"	"Q9GYX9"	"49"	"55"	"11240640"	"sequence based prediction"	"true positive"	""	"Armigeres subalbatus"
"ELMI001089"	"CLV"	"CLV_MEL_PAP_1"	"Q9Y0B4_SARBU"	"Q9Y0B4"	"Q9Y0B4"	"47"	"53"	""	""	"true positive"	""	"Neobellieria bullata"
"ELMI002709"	"CLV"	"CLV_NRD_NRD_1"	"PDYN_RAT"	"P06300"	"P06300 Q63193"	"207"	"209"	"8294457"	"cleavage reaction"	"true positive"	""	"Rattus norvegicus"
"ELMI002708"	"CLV"	"CLV_NRD_NRD_1"	"SMS_RAT"	"P60042"	"P60042 P01167"	"100"	"102"	"8294457"	"cleavage reaction"	"true positive"	""	"Rattus norvegicus"
"ELMI002704"	"CLV"	"CLV_PCSK_FUR_1"	"BMP1_HUMAN"	"P13497"	"P13497 A8K6F5 B2RN46 D3DSR0 Q13292 Q13872 Q14874 Q99421 Q99422 Q99423 Q9UL38"	"117"	"121"	"12637569"	"cleavage assay; inhibitor; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI001708"	"CLV"	"CLV_PCSK_FUR_1"	"ENV_FFV"	"O56861"	"O56861"	"124"	"128"	"15564468"	"amorph; cleavage reaction; detection by mass spectrometry; knock out; mutation analysis"	"true positive"	""	"Feline foamy virus"
"ELMI001709"	"CLV"	"CLV_PCSK_FUR_1"	"ENV_HTLV2"	"P03383"	"P03383 P03382"	"305"	"309"	"12487813"	"amorph; knock out; radiolabel; western blot"	"true positive"	""	"Human T-lymphotropic virus 2"
"ELMI001710"	"CLV"	"CLV_PCSK_FUR_1"	"ENV_HV1B1"	"P03375"	"P03375 P03376"	"508"	"512"	"11063880"	"amorph; knock out; mutation analysis; western blot"	"true positive"	""	"Human immunodeficiency virus type 1 BH10"
"ELMI001711"	"CLV"	"CLV_PCSK_FUR_1"	"ENV_HV1H2"	"P04578"	"P04578 O09779"	"508"	"512"	"8163529 7774724"	"cleavage reaction; elisa"	"true positive"	""	"HIV-1 M:B_HXB2R"
"ELMI001712"	"CLV"	"CLV_PCSK_FUR_1"	"FUS_HRSVA"	"P03420"	"P03420 P88811"	"133"	"137"	"11369882"	"amorph; cleavage reaction; knock out; radiolabel"	"true positive"	""	"Human respiratory syncytial virus A2"
"ELMI001713"	"CLV"	"CLV_PCSK_FUR_1"	"GB_EBVB9"	"P03188"	"P03188 Q777B0"	"429"	"433"	"19218203"	"mutation analysis"	"true positive"	""	"Human herpesvirus 4 (strain B95-8)"
"ELMI001714"	"CLV"	"CLV_PCSK_FUR_1"	"POLG_DEN1B"	"P27909"	"P27909 P29983 Q8B648"	"202"	"206"	"20062797"	"amorph; comigration in sds page; knock out; mutation analysis"	"true positive"	""	"Dengue virus 1 Brazil/97-11/1997"
"ELMI001716"	"CLV"	"CLV_PCSK_FUR_1"	"SPIKE_IBVB"	"P11223"	"P11223 P05134 Q4ZJS1"	"534"	"538"	"19553314"	"cleavage reaction; mutation analysis"	"true positive"	""	"Avian infectious bronchitis virus (strain Beaudette)"
"ELMI001715"	"CLV"	"CLV_PCSK_FUR_1"	"SPIKE_IBVB"	"P11223"	"P11223 P05134 Q4ZJS1"	"687"	"691"	"19553314"	"cleavage reaction; mutation analysis"	"true positive"	""	"Avian infectious bronchitis virus (strain Beaudette)"
"ELMI001719"	"CLV"	"CLV_PCSK_FUR_1"	"VGP_EBOZM"	"Q05320"	"Q05320 Q66818 Q77LU5 Q8B9S1 Q8JS62"	"498"	"502"	"9576958"	"amorph; cleavage reaction; knock out; mutation analysis; radiolabel"	"true positive"	""	"Ebola virus - Mayinga, Zaire, 1976"
"ELMI001717"	"CLV"	"CLV_PCSK_FUR_1"	"VL2_HPV16"	"P03107"	"P03107 Q71BI1"	"9"	"13"	"16432208"	"mutation analysis"	"true positive"	""	"Human papillomavirus type 16"
"ELMI001718"	"CLV"	"CLV_PCSK_FUR_1"	"VSGP_EBOZM"	"P60170"	"P60170 O12421 O12717 Q66801 Q66819 Q77LU4 Q8JS61 Q9YMG3"	"321"	"325"	"10603327"	"cleavage reaction; mutation analysis; radiolabel"	"true positive"	""	"Ebola virus - Mayinga, Zaire, 1976"
"ELMI002707"	"CLV"	"CLV_PCSK_KEX2_1"	"CIS3_YEAST"	"P47001"	"P47001 D6VW29"	"63"	"65"	"10438739"	"edman degradation; knock out"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI002722"	"CLV"	"CLV_PCSK_PC1ET2_1"	"COLI_MOUSE"	"P01193"	"P01193 P01200 Q544U4"	"122"	"124"	"2023902"	"chromatography technology; cleavage assay; radioimmunoassay"	"true positive"	""	"Mus musculus"
"ELMI002721"	"CLV"	"CLV_PCSK_PC1ET2_1"	"COLI_MOUSE"	"P01193"	"P01193 P01200 Q544U4"	"163"	"165"	"2023902"	"chromatography technology; cleavage assay; radioimmunoassay"	"true positive"	""	"Mus musculus"
"ELMI002723"	"CLV"	"CLV_PCSK_PC1ET2_1"	"COLI_MOUSE"	"P01193"	"P01193 P01200 Q544U4"	"203"	"205"	"2023902"	"chromatography technology; cleavage assay; radioimmunoassay"	"true positive"	""	"Mus musculus"
"ELMI002718"	"CLV"	"CLV_PCSK_PC1ET2_1"	"PDYN_RAT"	"P06300"	"P06300 Q63193"	"164"	"166"	"8276115"	"chromatography technology; cleavage assay; radioimmunoassay"	"true positive"	""	"Rattus norvegicus"
"ELMI002720"	"CLV"	"CLV_PCSK_PC1ET2_1"	"RENI2_MOUSE"	"P00796"	"P00796 P70229 P97955 Q62155"	"62"	"64"	"2015816"	"cleavage assay; mutation analysis; radioimmunoassay"	"true positive"	""	"Mus musculus"
"ELMI002719"	"CLV"	"CLV_PCSK_PC1ET2_1"	"RENI_HUMAN"	"P00797"	"P00797 Q6FI38 Q6T5C2"	"65"	"67"	"1597471 2015816"	"cleavage assay; mutation analysis; radioimmunoassay"	"true positive"	""	"Homo sapiens"
"ELMI002724"	"CLV"	"CLV_PCSK_PC7_1"	"BMP4_HUMAN"	"P12644"	"P12644 Q9UM80"	"287"	"293"	"19651771"	"inferred by curator"	"true positive"	""	"Homo sapiens"
"ELMI002705"	"CLV"	"CLV_PCSK_SKI1_1"	"ATF6A_HUMAN"	"P18850"	"P18850 O15139 Q5VW62 Q6IPB5 Q9UEC9"	"416"	"420"	"11163209"	"cleavage assay; knock out; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002706"	"CLV"	"CLV_PCSK_SKI1_1"	"SRBP2_HUMAN"	"Q12772"	"Q12772 Q6GTH7 Q86V36 Q9UH04"	"519"	"523"	"9139737"	"cleavage assay; edman degradation; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002250"	"CLV"	"CLV_Separin_Fungi"	"RAD21_SCHPO"	"P30776"	"P30776"	"226"	"232"	"11069892"	"mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Schizosaccharomyces pombe 972h-"
"ELMI002249"	"CLV"	"CLV_Separin_Fungi"	"REC8_YEAST"	"Q12188"	"Q12188 D6W418"	"448"	"454"	"11081626"	"mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI002247"	"CLV"	"CLV_Separin_Fungi"	"SCC1_YEAST"	"Q12158"	"Q12158 D6VRY5 Q05325"	"175"	"181"	"10403247 14585836"	"coimmunoprecipitation; edman degradation; inhibitor; mutation analysis; western blot"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI002248"	"CLV"	"CLV_Separin_Fungi"	"SCC1_YEAST"	"Q12158"	"Q12158 D6VRY5 Q05325"	"263"	"269"	"10403247"	"mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI002253"	"CLV"	"CLV_Separin_Metazoa"	"ESPL1_HUMAN"	"Q14674"	"Q14674"	"1483"	"1487"	"12297314"	"edman degradation; mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002254"	"CLV"	"CLV_Separin_Metazoa"	"ESPL1_HUMAN"	"Q14674"	"Q14674"	"1503"	"1507"	"12297314"	"de novo protein sequencing by mass spectrometry; edman degradation; mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002255"	"CLV"	"CLV_Separin_Metazoa"	"ESPL1_HUMAN"	"Q14674"	"Q14674"	"1532"	"1536"	"12297314"	"mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002252"	"CLV"	"CLV_Separin_Metazoa"	"PCNT_HUMAN"	"O95613"	"O95613 O43152 Q7Z7C9"	"2228"	"2232"	"22542101"	"mutation analysis; rna interference; sequence based prediction; western blot"	"true positive"	""	"Homo sapiens"
"ELMI002251"	"CLV"	"CLV_Separin_Metazoa"	"RAD21_HUMAN"	"O60216"	"O60216 A8K0E0 Q15001 Q99568"	"169"	"173"	"11509732"	"mutation analysis; sequence based prediction; western blot"	"true positive"	""	"Homo sapiens"
"ELMI000911"	"CLV"	"CLV_TASPASE1"	"MLL1_HUMAN"	"Q03164"	"Q03164 Q13743 Q13744 Q14845 Q16364 Q59FF2 Q6UBD1 Q9UD94 Q9UMA3"	"2664"	"2670"	"12482972"	"edman degradation; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI000912"	"CLV"	"CLV_TASPASE1"	"MLL1_HUMAN"	"Q03164"	"Q03164 Q13743 Q13744 Q14845 Q16364 Q59FF2 Q6UBD1 Q9UD94 Q9UMA3"	"2716"	"2722"	"12482972"	"edman degradation; mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI001000"	"DEG"	"DEG_APCC_DBOX_1"	"AURKB_HUMAN"	"Q96GD4"	"Q96GD4 D3DTR4 O14630 O60446 O95083 Q96DV5 Q9UQ46"	"314"	"322"	"16204042 15923616"	"mutation analysis"	"false positive"	""	"Homo sapiens"
"ELMI000998"	"DEG"	"DEG_APCC_DBOX_1"	"CCNA1_XENLA"	"P18606"	"P18606"	"40"	"48"	"1321060 8885231 8670806"	"mutation analysis"	"true positive"	""	"Xenopus laevis"
"ELMI002599"	"DEG"	"DEG_APCC_DBOX_1"	"CCNB1_HUMAN"	"P14635"	"P14635"	"41"	"49"	"23091007"	"mutation analysis; ubiquitinase assay"	"true positive"	""	"Homo sapiens"
"ELMI003750"	"DEG"	"DEG_APCC_DBOX_1"	"CCNB_ARBPU"	"P07818"	"P07818"	"41"	"49"	"1846030 8885231"	"mutation analysis"	"true positive"	""	"Arbacia punctulata"
"ELMI001035"	"DEG"	"DEG_APCC_DBOX_1"	"ID2_HUMAN"	"Q02363"	"Q02363"	"99"	"107"	"16810178"	"mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI001003"	"DEG"	"DEG_APCC_DBOX_1"	"O93355_XENLA"	"O93355"	"O93355"	"32"	"40"	"9635433"	"mutation analysis"	"true positive"	""	"Xenopus laevis"
"ELMI001004"	"DEG"	"DEG_APCC_DBOX_1"	"PLK1_HUMAN"	"P53350"	"P53350 Q15153 Q99746"	"336"	"344"	"14734534"	"mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI001002"	"DEG"	"DEG_APCC_DBOX_1"	"Q9IA80_XENLA"	"Q9IA80"	"Q9IA80"	"54"	"62"	"10411507"	"mutation analysis"	"true positive"	""	"Xenopus laevis"
"ELMI002115"	"DEG"	"DEG_APCC_DBOX_1"	"SKP2_HUMAN"	"Q13309"	"Q13309 A8K5E0 Q8TDZ0 Q8TDZ1 Q9BV69"	"2"	"10"	"15014503"	"coimmunoprecipitation; glutathione s tranferase tag; mutation analysis; pull down; radiolabel"	"true positive"	""	"Homo sapiens"
"ELMI000999"	"DEG"	"DEG_APCC_DBOX_1"	"STK6A_XENLA"	"Q91820"	"Q91820 Q6INY9"	"377"	"385"	"12208850 11707286"	"mutation analysis"	"false positive"	""	"Xenopus laevis"
"ELMI001033"	"DEG"	"DEG_APCC_DBOX_1"	"STK6_HUMAN"	"O14965"	"O14965 E1P5F9 O60445 O75873 Q9BQD6 Q9UPG5"	"370"	"378"	"15536123"	"mutation analysis"	"false positive"	""	"Homo sapiens"
"ELMI002431"	"DEG"	"DEG_APCC_KENBOX_2"	"ACM1_YEAST"	"Q08981"	"Q08981 D6W3A3"	"97"	"101"	"18596038"	"anti tag coimmunoprecipitation; mutation analysis"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI001016"	"DEG"	"DEG_APCC_KENBOX_2"	"AURKB_HUMAN"	"Q96GD4"	"Q96GD4 D3DTR4 O14630 O60446 O95083 Q96DV5 Q9UQ46"	"3"	"7"	"17726374 15923616"	"mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI002601"	"DEG"	"DEG_APCC_KENBOX_2"	"BUB1B_HUMAN"	"O60566"	"O60566 B2R6U0 B4DL09 B4DLG3 O60501 O60627 O60758 O75389 Q59HH6 Q8WV50 Q96KM4"	"25"	"29"	"23091007"	"mutation analysis; pull down; x-ray crystallography"	"true positive"	"4GGD"	"Homo sapiens"
"ELMI002600"	"DEG"	"DEG_APCC_KENBOX_2"	"BUB1B_HUMAN"	"O60566"	"O60566 B2R6U0 B4DL09 B4DLG3 O60501 O60627 O60758 O75389 Q59HH6 Q8WV50 Q96KM4"	"303"	"307"	"22193957"	"competition binding; mutation analysis"	"true positive"	""	"Homo sapiens"
